01-Jul-19 14:04:25 - epoch 0, train loss -457.642574, valid loss -934.530981, acc 0.002468, recall 0.015742, f1 0.004267 
01-Jul-19 14:04:45 - epoch 1, train loss -1372.882551, valid loss -1831.189950, acc 0.002468, recall 0.015742, f1 0.004267 
01-Jul-19 14:05:04 - epoch 2, train loss -2262.454248, valid loss -2713.479125, acc 0.002468, recall 0.015742, f1 0.004267 
01-Jul-19 14:05:23 - epoch 3, train loss -3141.641667, valid loss -3590.501275, acc 0.002468, recall 0.015742, f1 0.004267 
01-Jul-19 14:05:43 - epoch 4, train loss -4017.629130, valid loss -4465.390850, acc 0.002468, recall 0.015742, f1 0.004267 
01-Jul-19 14:06:03 - epoch 5, train loss -4892.120672, valid loss -5339.186875, acc 0.002468, recall 0.015742, f1 0.004267 
01-Jul-19 14:06:23 - epoch 6, train loss -5765.373709, valid loss -6212.372700, acc 0.002468, recall 0.015742, f1 0.004267 
01-Jul-19 14:06:42 - epoch 7, train loss -6638.418781, valid loss -7085.211750, acc 0.002468, recall 0.015742, f1 0.004267 
01-Jul-19 14:07:02 - epoch 8, train loss -7511.086737, valid loss -7957.797700, acc 0.002468, recall 0.015742, f1 0.004267 
01-Jul-19 14:07:23 - epoch 9, train loss -8383.103419, valid loss -8830.122700, acc 0.002468, recall 0.015742, f1 0.004267 
01-Jul-19 14:07:43 - epoch 10, train loss -9256.139528, valid loss -9702.460350, acc 0.002468, recall 0.015742, f1 0.004267 
01-Jul-19 14:08:04 - epoch 11, train loss -10127.615963, valid loss -10574.607500, acc 0.002468, recall 0.015742, f1 0.004267 
01-Jul-19 14:08:25 - epoch 12, train loss -11000.302473, valid loss -11446.738200, acc 0.002468, recall 0.015742, f1 0.004267 
